﻿Rank,Company, Headquarters/ U.S. headquarters,State,U.S. sales growth (&#039;22 v &#039;21), 2022 U.S. retail sales (billions) , 2022 worldwide retail sales (billions) ,U.S. % of worldwide sales, 2022 U.S. stores ,U.S. store growth (&#039;22 v &#039;21),Notes,Expand all
90,Exxon Mobil Corporation,Irving, TX,1.40%,$4.65 ,$4.96 ,94%,3,256,-0.50%,
91,Neiman Marcus,Dallas, TX,4.20%,$4.61 ,$5.24 ,88%,45,-2.20%,,
92,Ingles,Black Mountain, NC,8.00%,$4.59 ,$4.59 ,100%,198,0.00%,,
93,Lululemon,Sumner, WA,12.80%,$4.58 ,$5.78 ,79%,350,8.00%,,
94,Save-A-Lot,St. Ann, MO,4.00%,$4.43 ,$4.43 ,100%,863,0.00%,,
95,Defense Commissary Agency,Fort Lee, VA,2.30%,$4.40 ,$4.40 ,100%,236,0.00%,,
96,Tapestry,New York, NY,2.40%,$4.39 ,$6.67 ,66%,570,-1.90%,,
97,American Eagle,Pittsburgh, PA,-1.60%,$4.27 ,$5.57 ,77%,954,1.40%,,
98,Shell Oil Company,Houston, TX,4.40%,$4.17 ,$4.79 ,87%,4,286,3.10%,Includes only convenience store sales.
99,Schnucks,St. Louis, MO,13.50%,$4.02 ,$4.02 ,100%,113,1.80%,,
100,Barnes and Noble Booksellers,New York, NY,2.50%,$3.75 ,$3.75 ,100%,616,1.00%,,
