﻿Rank,Company,2018 retail sales (billions),Headquarters/U.S. headquarters,2018 stores,Worldwide retail sales (billions),USA % of worldwide sales,Growth (&#039;18 v &#039;17),Notes,Expand all
20,H.E. Butt Grocery,$24.02 ,San Antonio, TX,333,$25.17 ,95%,1%,
21,Dollar Tree,$22.48 ,Chesapeake, VA,15,012,$22.75 ,99%,3%,
22,Verizon Wireless,$22.26 ,New York, NY,6,839,$16.92 ,132%,-4%,
23,Kohl&#039;s,$19.17 ,Menomonee Falls, WI,1,175,$19.17 ,100%,0%,
24,Yum! Brands,$18.63 ,Louisville, KY,17,504,$54.93 ,34%,1%,
25,Meijer,$17.69 ,Grand Rapids, MI,242,$17.69 ,100%,3%,
26,Starbucks,$17.41 ,Seattle, WA,13,172,$19.16 ,91%,5%,
27,Ace Hardware,$17.32 ,Oak Brook, IL,4,426,$18.26 ,95%,0%,
28,Wakefern / Shoprite ,$16.57 ,Keasbey, NJ,352,$16.57 ,100%,2%,
29,7-Eleven,$16.51 ,Dallas, TX,8,951,$89.15 ,19%,11%,
30,AT&amp;T Wireless,$16.41 ,Dallas, TX,2,004,$13.87 ,118%,-5%,
31,Rite Aid,$15.83 ,Camp Hill, PA,2,550,$15.83 ,100%,-44%,Acquired part of Rite Aid stores, effective FY 2018,
32,Nordstrom,$15.06 ,Seattle, WA,366,$15.48 ,97%,1%,
33,Ross Stores,$14.96 ,Pleasanton, CA,1,715,$14.98 ,100%,6%,
34,BJ&#039;s Wholesale Club,$13.01 ,Westborough, MA,217,$13.01 ,100%,1%,
35,Gap,$12.88 ,San Francisco, CA,2,296,$16.17 ,80%,-3%,Announced spin-off of Old Navy as standalone entity effective FY 2019,
36,Alimentation Couche-Tard,$12.46 ,Tempe, AZ,6,872,$15.75 ,79%,-2%,Acquired CST Brands convenience stores, effective FY 2018,
37,Bed Bath &amp; Beyond,$12.23 ,Union, NJ,1,481,$12.44 ,98%,-1%,
38,Menard,$11.69 ,Eau Claire, WI,310,$11.69 ,100%,1%,
39,J.C. Penney Company,$11.66 ,Plano, TX,864,$12.40 ,94%,0%,
40,L Brands,$11.34 ,Columbus, OH,2,722,$12.42 ,91%,-1%,
41,Qurate Retail,$11.34 ,Englewood, CO,N.A.,$14.08 ,81%,N.A.,
42,Health Mart Systems,$10.62 ,Omaha, NE,4,953,$10.62 ,100%,2%,
43,Subway / Doctor&#039;s Associates,$10.42 ,Milford, CT,26,932,$26.70 ,39%,-2%,
44,Hy-Vee ,$10.15 ,West Des Moines, IA,250,$10.15 ,100%,2%,
45,Chick-Fil-A,$10.00 ,Atlanta, GA,2,102,$6.14 ,163%,6%,
46,Burger King Worldwide,$9.94 ,Miami, FL,7,362,$17.30 ,57%,3%,
47,Good Neighbor Pharmacy,$9.58 ,Chesterbrook, PA,2,962,$9.58 ,100%,4%,
48,O&#039;Reilly Auto Parts,$9.54 ,Springfield, MO,5,219,$9.54 ,100%,4%,
49,Southeastern Grocers (BI-LO),$9.48 ,Jacksonville, FL,654,$9.48 ,100%,-8%,
50,AutoZone,$9.46 ,Memphis, TN,5,552,$10.95 ,86%,3%,
51,Wendy&#039;s,$9.40 ,Dublin, OH,5,739,$9.89 ,95%,0%,
52,Dunkin&#039; Brands Group ,$9.40 ,Canton, MA,11,366,$10.17 ,92%,4%,
53,Giant Eagle,$9.13 ,O&#039;Hara Township, PA,426,$9.13 ,100%,2%,
54,Wegmans Food Market,$9.05 ,Rochester, NY,98,$9.05 ,100%,2%,
55,Sherwin-Williams,$8.71 ,Cleveland, OH,4,032,$9.34 ,93%,2%,
56,PetSmart,$8.70 ,Phoenix, AZ,1,507,$9.06 ,96%,3%,
57,Darden Restaurants,$8.62 ,Orlando, FL,1,734,$7.14 ,121%,13%,
58,Dick&#039;s Sporting Goods,$8.25 ,Coraopolis, PA,858,$8.25 ,100%,2%,
59,Tractor Supply Co.,$8.09 ,Brentwood, TN,1,940,$8.09 ,100%,5%,
60,Sears Holdings,$7.72 ,Hoffman Estates, IL,397,$8.44 ,91%,-58%,
61,WinCo Foods,$7.69 ,Boise, ID,125,$7.69 ,100%,7%,
62,Army &amp; Air Force Exchange Service,$7.50 ,Dallas, TX,901,$7.50 ,100%,-1%,
63,Staples,$7.24 ,Framingham, MA,1,139,$9.39 ,77%,-4%,
64,Save-A-Lot,$7.13 ,Earth City, MO,1,262,$7.13 ,100%,-2%,
65,Dine Brands Global,$6.76 ,Glendale, CA,3,495,$8.00 ,84%,0%,
66,Ulta Salon, Cosmetics &amp; Fragrance,$6.72 ,Bolingbrook, IL,1,174,$6.72 ,100%,9%,
67,Bass Pro,$6.71 ,Springfield, MO,161,$7.27 ,92%,-2%,
68,Burlington,$6.58 ,Burlington, NJ,664,$6.63 ,99%,8%,
69,Ascena Retail Group,$6.53 ,Suffern, NY,4,543,$6.69 ,98%,-4%,
70,Domino&#039;s Pizza,$6.51 ,Ann Arbor, MI,5,371,$9.90 ,66%,3%,
71,Dillard&#039;s,$6.12 ,Little Rock, AR,5,371,$6.12 ,100%,0%,
72,IKEA North America Svcs,$6.05 ,Conshohocken, PA,49,$44.90 ,13%,9%,
73,Office Depot,$6.00 ,Boca Raton, FL,1,361,$8.86 ,68%,-1%,
74,Foot Locker,$5.96 ,New York, NY,2,071,$8.04 ,74%,-6%,
75,GameStop,$5.89 ,Grapevine, TX,3,896,$8.14 ,72%,0%,
76,Sephora (LVMH),$5.81 ,San Francisco, CA,396,$13.55 ,43%,9%,
77,Wayfair,$5.75 ,Boston, MA,N.A.,$6.72 ,86%,N.A.,
78,AVB Brandsource,$5.70 ,Tustin, CA,3,073,$5.87 ,97%,3%,
79,Panera Bread Company,$5.63 ,St. Louis, MO,2,036,$4.96 ,113%,3%,
80,Williams-Sonoma,$5.47 ,San Francisco, CA,595,$5.60 ,98%,-2%,
81,Big Lots,$5.24 ,Columbus, OH,1,401,$5.24 ,100%,-1%,
82,Hobby Lobby Stores,$5.22 ,Oklahoma City, OK,883,$5.22 ,100%,5%,
83,Sprout&#039;s Farmers Market,$5.21 ,Phoenix, AZ,313,$5.21 ,100%,10%,
84,Speedway,$5.19 ,Enon, OH,2,774,$5.19 ,100%,1%,
85,Signet Jewelers,$5.10 ,Akron, OH,2,950,$5.89 ,87%,-1%,
86,Defense Commiss. Agency,$4.98 ,Fort Lee, VA,238,$4.98 ,100%,0%,
87,Academy,$4.90 ,Katy, TX,259,$4.90 ,100%,0%,
88,Saks Fifth Avenue / Lord &amp; Taylor,$4.90 ,New York, NY,194,$7.50 ,65%,-3%,
89,True Value Co.,$4.86 ,Chicago, IL,4,286,$4.89 ,99%,-1%,
90,Chipotle Mexican Grill,$4.79 ,Denver, CO,2,221,$4.50 ,106%,12%,
91,Discount Tire,$4.79 ,Scottsdale, AR,1,003,$4.79 ,100%,3%,
92,Michaels Stores,$4.78 ,Irving, TX,1,124,$5.27 ,91%,-9%,
93,Camping World,$4.77 ,Lincolnshire, IL,217,$4.77 ,100%,63%,
94,Exxon Mobil Corporation,$4.76 ,Irving, TX,3,311,$10.67 ,45%,-1%,
95,Neiman Marcus,$4.54 ,Dallas, TX,71,$4.90 ,93%,-16%,
96,Jack In The Box,$4.46 ,San Diego, CA,2,954,$4.17 ,107%,2%,
97,Sonic,$4.44 ,Oklahoma City, OK,3,557,$4.37 ,102%,1%,Acquired by Inspire Brands, effective FY 2019,
98,Belk,$4.38 ,Charlotte, NC,292,$4.38 ,100%,1%,
99,Shell Oil Company,$4.22 ,Houston, TX,4,406,$4.81 ,88%,-5%,
100,Stater Bros Holdings,$4.19 ,San Bernardino, CA,171,$4.19 ,100%,0%,
