﻿Rank,Company,Headquarters/U.S. headquarters,U.S. sales growth (&#039;21 v &#039;20),2021 worldwide retail sales (billions),2021 U.S. retail sales (billions),U.S. % of worldwide sales,2021 U.S. stores,U.S. store growth (&#039;21 v &#039;20),Notes,Expand all
26,Ross Stores,Dublin, CA,51.00%,$18.92 ,$18.89 ,100%,1,923,3.40%,
27,Kohl&#039;s,Menomonee Falls, WI,20.70%,$18.50 ,$18.50 ,100%,1,177,0.30%,
28,Wakefern / ShopRite,Keasbey, NJ,-2.50%,$17.86 ,$17.86 ,100%,361,0.60%,
29,Rite Aid,Camp Hill, PA,6.90%,$17.49 ,$17.49 ,100%,2,517,2.90%,
30,BJ&#039;s Wholesale Club,Westborough, MA,8.00%,$16.67 ,$16.67 ,100%,226,2.30%,
31,Dell Technologies,Round Rock, TX,14.00%,$14.03 ,$14.03 ,100%, N/A , N/A ,
32,Gap,San Francisco, CA,21.00%,$16.60 ,$13.92 ,84%,2,147,-6.90%,
33,Nordstrom,Seattle, WA,38.30%,$13.99 ,$13.74 ,98%,345,-0.60%,
34,Menards,Eau Claire, WI,2.90%,$13.14 ,$13.14 ,100%,328,1.50%,
35,O’Reilly Auto Parts,Springfield, MO,14.40%,$13.27 ,$12.88 ,97%,5,759,2.90%,
36,Tractor Supply Co.,Brentwood, TN ,19.60%,$12.64 ,$12.64 ,100%,2,181,3.60%,
37,AutoZone,Memphis, TN ,16.00%,$14.30 ,$12.41 ,87%,6,001,2.80%,
38,Dick&#039;s Sporting Goods,Coraopolis, PA,25.50%,$12.03 ,$12.03 ,100%,848,-0.70%,
39,Hy Vee,West Des Moines, IA,4.10%,$12.02 ,$12.02 ,100%,309,4.00%,
40,Wayfair,Boston, MA,-5.50%,$13.71 ,$11.25 ,82%,N/A,N/A,
41,Health Mart Systems,Omaha, NE,2.60%,$11.23 ,$11.23 ,100%,4,763,-0.80%,
42,Wegmans Food Market,Rochester, NY,3.80%,$11.23 ,$11.23 ,100%,106,1.90%,
43,Qurate Retail,Englewood, CO,-2.20%,$13.95 ,$10.97 ,79%, N/A , N/A ,
44,Giant Eagle,O&#039;Hara Township, PA,4.40%,$10.43 ,$10.43 ,100%,476,0.40%,
45,Alimentation Couche-Tard,Tempe, AZ,1.40%,$13.68 ,$10.27 ,75%,7,076,-1.00%,
46,Sherwin-Williams,Cleveland, OH,8.00%,$10.88 ,$10.15 ,93%,4,222,1.70%,
47,Burlington,Burlington, NJ,65.80%,$9.38 ,$9.34 ,100%,828,10.70%,
48,J.C. Penney Company,Plano, TX,10.20%,$8.99 ,$8.94 ,99%,669,-2.00%,
49,WinCo Foods,Boise, ID,2.00%,$8.92 ,$8.92 ,100%,134,3.90%,
50,Chewy.com,Dania Beach, FL,24.40%,$8.89 ,$8.89 ,100%,N/A,N/A,Spun off from PetSmart in 2021,
51,Good Neighbor Pharmacy,Chesterbrook, PA,2.50%,$8.66 ,$8.66 ,100%,2,360,-0.70%,
52,Ulta Beauty,Bolingbrook, IL,40.20%,$8.63 ,$8.63 ,100%,1,308,3.50%,
53,Williams-Sonoma,San Francisco, CA,21.20%,$8.15 ,$8.01 ,98%,511,-6.40%,
54,Army and Air Force Exchange Service,Dallas TX ,2.70%,$7.72 ,$7.72 ,100%,896,0.00%,
55,PetSmart,Phoenix, AZ,-48.50%,$7.84 ,$7.42 ,95%,1,566,0.80%,
56,Bass Pro,Springfield, MO,1.90%,$7.50 ,$6.93 ,92%,154,1.30%,
57,Bath &amp; Body Works,Reynoldsburg, OH,17.60%,$7.21 ,$6.92 ,96%,1,647,0.90%,Spun off from L Brands into a separate publicly traded company in 2021,
58,Southeastern Grocers,Jacksonville, FL,-18.00%,$6.76 ,$6.76 ,100%,419,-19.90%,
59,AVB Brandsource,Tustin, CA,4.00%,$6.72 ,$6.54 ,97%,3,138,0.20%,
60,Academy Sports,Katy, TX,13.60%,$6.46 ,$6.46 ,100%,259,0.00%,
61,Staples,Framingham, MA,-3.40%,$8.02 ,$6.40 ,80%,1,050,-2.00%,
62,Dillard&#039;s,Little Rock, AR,53.20%,$6.38 ,$6.38 ,100%,250,0.00%,
63,Hobby Lobby Stores,Oklahoma City, OK,7.80%,$6.27 ,$6.27 ,100%,1,001,5.40%,
64,Bed Bath &amp; Beyond,Union, NJ,-31.30%,$6.41 ,$6.20 ,97%,906,-29.10%,
65,Big Lots,Columbus, OH,-0.80%,$6.15 ,$6.15 ,100%,1,431,1.60%,
66,Signet Jewelers,Akron, OH,30.60%,$6.95 ,$6.14 ,88%,2,256,-5.20%,
67,Foot Locker,New York, NY,1.30%,$7.96 ,$6.11 ,77%,1,705,-12.70%,
68,Sprouts Farmers Market,Phoenix, AZ,-5.70%,$6.09 ,$6.09 ,100%,374,3.30%,
69,Sephora (LVMH),San Francisco, CA,19.90%,$13.81 ,$6.01 ,44%,508,6.70%,
70,Ikea North America Services,Conshohocken, PA,13.80%,$50.78 ,$5.93 ,12%,52,2.00%,
71,Discount Tire,Scottsdale, AZ,8.30%,$5.91 ,$5.91 ,100%,1,087,0.80%,
72,Camping World,Lincolnshire, IL,7.10%,$5.83 ,$5.83 ,100%,225,6.60%,
73,Petco,San Diego, CA,17.60%,$5.81 ,$5.65 ,97%,1,435,-1.40%,
74,True Value Co.,Chicago, IL,5.00%,$5.63 ,$5.63 ,100%,4,241,-0.10%,
75,Office Depot,Boca Raton, FL,-4.00%,$7.91 ,$5.54 ,70%,1,038,-10.10%,
76,Victoria&#039;s Secret,Reynoldsburg, OH,5.30%,$5.40 ,$5.17 ,96%,807,-4.60%,Spun off from L Brands into a separate publicly traded company in 2021,
77,Michaels Stores,Irving, TX,5.30%,$5.62 ,$5.01 ,89%,1,140,1.80%,
78,Piggly Wiggly,Keene, NH,2.30%,$4.96 ,$4.96 ,100%,412,2.00%,
79,Stater Bros Holdings,San Bernardino, CA,1.90%,$4.77 ,$4.77 ,100%,172,0.00%,
80,My Demoulas,Tewksbury, MA,1.50%,$4.74 ,$4.74 ,100%,90,5.90%,
81,Advance Auto,Raleigh, NC,8.80%,$4.75 ,$4.73 ,99%,4,359,-2.00%,
82,Harbor Freight Tools,Calabasas, CA,93.40%,$4.73 ,$4.73 ,100%,1,210,7.10%,
83,Exxon Mobil Corporation,Irving, TX,-0.80%,$5.64 ,$4.59 ,81%,3,272,-0.60%,Includes only convenience store sales,
84,Hudson&#039;s Bay,New York, NY,35.30%,$9.91 ,$4.50 ,45%,141,0.00%,
85,Save-A-Lot,Earth City, MO,-38.20%,$4.39 ,$4.39 ,100%,905,-26.40%,
86,American Eagle Outfitters,Pittsburgh, PA,31.60%,$5.77 ,$4.34 ,75%,941,2.00%,
87,Total Wine &amp; More,Bethesda, MD,12.70%,$4.31 ,$4.31 ,100%,226,5.60%,
88,Defense Commissary Agency,Fort Lee, VA,-6.50%,$4.30 ,$4.30 ,100%,236,0.00%,
89,Ingles,Black Mountain, NC,5.60%,$4.25 ,$4.25 ,100%,198,0.50%,
90,Weis Markets,Sunbury, PA,2.70%,$4.22 ,$4.22 ,100%,196,0.00%,
91,Casey&#039;s General Store,Ankeny, IA,11.30%,$4.22 ,$4.22 ,100%,2,403,7.10%,
92,Tapestry,New York, NY,16.40%,$6.36 ,$4.12 ,65%,592,-4.20%,
93,Smart &amp; Final,Commerce, CA,-0.20%,$4.20 ,$4.09 ,97%,254,-0.80%,Does not reflect Chedraui USA&#039;s acquisition as it is effective 2022,
94,Lululemon,Sumner, WA,33.50%,$5.08 ,$4.06 ,80%,324,2.90%,
95,Shell Oil Company,Houston, TX,2.20%,$4.64 ,$3.99 ,86%,4,159,0.00%,Includes only convenience store sales,
96,Golub,Schenectady, NY,2.90%,$3.98 ,$3.98 ,100%,122,-1.60%,
97,Save Mart,Modesto, CA,2.10%,$3.80 ,$3.80 ,100%,203,-0.50%,
98,RH,Corte Madera, CA,32.30%,$3.76 ,$3.76 ,100%,119,1.70%,
99,Urban Outfitters,Philadelphia, PA,32.20%,$4.30 ,$3.69 ,86%,549,6.40%,
100,Barnes &amp; Noble,New York, NY,3.40%,$3.66 ,$3.66 ,100%,610,0.80%,
