zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name
11231,"BROOKLYN, NY",G,10507,G,126445,G,627947,1248,BROOKLYN,NY,KINGS
11232,"BROOKLYN, NY",H,21139,H,234009,G,1070327,1338,BROOKLYN,NY,KINGS
11233,"BROOKLYN, NY",G,7152,G,51001,G,231209,597,BROOKLYN,NY,KINGS
11234,"BROOKLYN, NY",G,21934,G,193911,G,869133,1764,BROOKLYN,NY,KINGS
11235,"BROOKLYN, NY",G,41022,G,352641,G,1530834,2898,BROOKLYN,NY,KINGS
11236,"BROOKLYN, NY",G,13945,G,140673,G,607641,1001,BROOKLYN,NY,KINGS
11237,"BROOKLYN, NY",G,12704,G,164428,G,756178,1242,BROOKLYN,NY,KINGS
11238,"BROOKLYN, NY",G,8438,H,81854,G,414989,1296,BROOKLYN,NY,KINGS
11239,"BROOKLYN, NY",G,4130,G,31143,G,123402,124,BROOKLYN,NY,KINGS
11241,"BROOKLYN, NY",H,675,H,9137,H,37885,62,BROOKLYN,NY,KINGS
11242,"BROOKLYN, NY",G,649,G,10379,G,42390,115,BROOKLYN,NY,KINGS
11243,"BROOKLYN, NY",J,114,H,2422,H,10015,14,BROOKLYN,NY,KINGS
11245,"BROOKLYN, NY",J,3646,J,213145,J,533064,11,BROOKLYN,NY,KINGS
11249,"BROOKLYN, NY",H,10504,H,122515,H,580053,1111,BROOKLYN,NY,KINGS
11252,"BROOKLYN, NY",J,88,H,1232,H,5473,12,BROOKLYN,NY,KINGS
11256,"BROOKLYN, NY",H,30,H,69,H,251,3,BROOKLYN,NY,KINGS
11351,"FLUSHING, NY",J,1386,J,12880,J,57368,5,FLUSHING,NY,QUEENS
11352,"FLUSHING, NY",J,13,G,102,H,463,6,FLUSHING,NY,QUEENS
11354,"FLUSHING, NY",G,29351,G,349235,G,1534043,3725,FLUSHING,NY,QUEENS
11355,"FLUSHING, NY",G,21787,G,287178,G,1234291,2325,FLUSHING,NY,QUEENS
11356,"COLLEGE POINT, NY",G,8137,G,134454,G,548947,792,COLLEGE POINT,NY,QUEENS
11357,"WHITESTONE, NY",G,7811,G,103709,G,455236,989,WHITESTONE,NY,QUEENS
11358,"FLUSHING, NY",G,6430,G,52671,G,247338,1421,FLUSHING,NY,QUEENS
11359,"BAYSIDE, NY",H,44,G,382,H,1358,4,BAYSIDE,NY,QUEENS
11360,"BAYSIDE, NY",H,3261,H,31870,G,149203,368,BAYSIDE,NY,QUEENS
11361,"BAYSIDE, NY",G,11612,G,127034,G,504957,1136,BAYSIDE,NY,QUEENS
11362,"LITTLE NECK, NY",G,4591,G,41111,G,189384,512,LITTLE NECK,NY,QUEENS
11363,"LITTLE NECK, NY",H,896,G,13745,G,59787,159,LITTLE NECK,NY,QUEENS
11364,"OAKLAND GARDENS, NY",G,2459,G,21402,G,96494,652,OAKLAND GARDENS,NY,QUEENS
11365,"FRESH MEADOWS, NY",G,7058,H,89854,G,388863,799,FRESH MEADOWS,NY,QUEENS
11366,"FRESH MEADOWS, NY",G,2697,G,26516,G,121276,491,FRESH MEADOWS,NY,QUEENS
11367,"FLUSHING, NY",G,5935,G,49457,G,227428,707,FLUSHING,NY,QUEENS
11368,"CORONA, NY",G,11110,G,123812,G,739253,1536,CORONA,NY,QUEENS
11369,"EAST ELMHURST, NY",H,4005,G,44494,G,187971,392,EAST ELMHURST,NY,QUEENS
11370,"EAST ELMHURST, NY",G,4251,H,82267,G,318471,356,EAST ELMHURST,NY,QUEENS
11371,"FLUSHING, NY",J,8668,J,164301,J,698741,75,FLUSHING,NY,QUEENS
11372,"JACKSON HEIGHTS, NY",G,10619,G,89822,G,411590,1786,JACKSON HEIGHTS,NY,QUEENS
11373,"ELMHURST, NY",G,19631,H,216602,H,936767,1630,ELMHURST,NY,QUEENS
11374,"REGO PARK, NY",G,12422,G,106361,G,474006,1179,REGO PARK,NY,QUEENS
11375,"FOREST HILLS, NY",G,31079,G,290625,G,1269256,2139,FOREST HILLS,NY,QUEENS
11377,"WOODSIDE, NY",G,16679,G,165687,G,762215,1664,WOODSIDE,NY,QUEENS
11378,"MASPETH, NY",G,19082,G,253480,G,1127467,1289,MASPETH,NY,QUEENS
11379,"MIDDLE VILLAGE, NY",G,4004,G,42868,G,204662,636,MIDDLE VILLAGE,NY,QUEENS
11385,"RIDGEWOOD, NY",G,16727,H,332282,H,1461308,2129,RIDGEWOOD,NY,QUEENS
11386,"RIDGEWOOD, NY",G,6,J,29,G,111,3,RIDGEWOOD,NY,QUEENS
11411,"CAMBRIA HEIGHTS, NY",G,1231,G,12795,G,48368,162,CAMBRIA HEIGHTS,NY,QUEENS
11412,"SAINT ALBANS, NY",G,1579,G,13126,G,59771,339,SAINT ALBANS,NY,QUEENS
11413,"SPRINGFIELD GARDENS, NY",G,5377,G,66161,G,281589,528,SPRINGFIELD GARDENS,NY,QUEENS
11414,"HOWARD BEACH, NY",G,2996,G,24587,G,112776,424,HOWARD BEACH,NY,QUEENS
11415,"KEW GARDENS, NY",H,4271,H,48561,H,205138,457,KEW GARDENS,NY,QUEENS
11416,"OZONE PARK, NY",H,8058,H,97893,H,399723,460,OZONE PARK,NY,QUEENS
11417,"OZONE PARK, NY",G,4949,G,40758,G,174929,471,OZONE PARK,NY,QUEENS
11418,"RICHMOND HILL, NY",G,11792,H,165504,H,735657,814,RICHMOND HILL,NY,QUEENS
11419,"SOUTH RICHMOND HILL, NY",G,4359,G,35629,G,152015,856,SOUTH RICHMOND HILL,NY,QUEENS
11420,"SOUTH OZONE PARK, NY",H,4150,H,41495,H,209537,496,SOUTH OZONE PARK,NY,QUEENS
11421,"WOODHAVEN, NY",G,2404,G,21778,G,95518,534,WOODHAVEN,NY,QUEENS
11422,"ROSEDALE, NY",G,2528,G,29100,G,142974,351,ROSEDALE,NY,QUEENS
11423,"HOLLIS, NY",G,2686,G,28100,G,131877,409,HOLLIS,NY,QUEENS
11425,"JAMAICA, NY",J,6,G,62,G,256,3,JAMAICA,NY,QUEENS
11426,"BELLEROSE, NY",H,1898,H,34375,H,119398,302,BELLEROSE,NY,QUEENS
11427,"QUEENS VILLAGE, NY",H,2317,J,30855,J,142079,255,QUEENS VILLAGE,NY,QUEENS
11428,"QUEENS VILLAGE, NY",G,1797,G,15999,G,72546,323,QUEENS VILLAGE,NY,QUEENS
11429,"QUEENS VILLAGE, NY",G,2789,G,39273,G,176007,274,QUEENS VILLAGE,NY,QUEENS
11430,"JAMAICA, NY",G,32746,G,493704,G,2303034,302,JAMAICA,NY,QUEENS
11431,"JAMAICA, NY",H,53,H,867,H,3639,6,JAMAICA,NY,QUEENS
11432,"JAMAICA, NY",H,16903,H,189571,H,818071,1325,JAMAICA,NY,QUEENS
11433,"JAMAICA, NY",H,3732,G,42851,G,186989,350,JAMAICA,NY,QUEENS
11434,"JAMAICA, NY",G,12376,G,146620,G,640305,1009,JAMAICA,NY,QUEENS
11435,"JAMAICA, NY",G,8899,G,89969,G,412060,954,JAMAICA,NY,QUEENS
11436,"JAMAICA, NY",G,786,G,8031,G,34562,166,JAMAICA,NY,QUEENS
11439,"JAMAICA, NY",J,3427,J,41253,J,174796,24,JAMAICA,NY,QUEENS
11691,"FAR ROCKAWAY, NY",G,10903,G,114294,G,506588,549,FAR ROCKAWAY,NY,QUEENS
11692,"ARVERNE, NY",G,1564,G,15296,G,66121,119,ARVERNE,NY,QUEENS
11693,"FAR ROCKAWAY, NY",G,1296,G,12270,G,60166,162,FAR ROCKAWAY,NY,QUEENS
11694,"ROCKAWAY PARK, NY",G,2535,G,23250,G,107587,331,ROCKAWAY PARK,NY,QUEENS
11697,"BREEZY POINT, NY",G,406,G,4971,G,24975,47,BREEZY POINT,NY,QUEENS
