,zip_codes,walk_scores
356,10591,88
357,13659,88
358,06605,88
359,08830,88
360,11001,88
361,06614,88
362,10990,88
363,97201,88
364,11509,88
365,10570,88
366,08817,88
367,07675,88
368,06830,88
369,11362,69
370,10107,88
371,85012,88
372,10153,88
373,11725,88
374,169658,88
375,07410,88
376,98101,88
377,10285,88
378,33131,88
379,11709,88
380,33139,88
381,33405,88
382,73301,88
383,97502,88
384,10162,96
385,33713,88
386,60526,88
387,07505,88
388,10115,88
389,11040,88
390,07501,88
391,10553,88
392,07095,88
393,07882,88
394,86336,88
395,11030,88
396,37203,88
397,11717,88
398,32903,88
399,11801,88
400,75206,88
401,91208,88
402,33606,88
403,11023,88
404,12533,88
405,07470,88
406,92014,88
407,97031,88
408,78701,88
409,10501,88
410,06776,88
411,12402,88
412,10598,88
413,07735,88
414,11753,88
415,92008,88
416,11796,88
417,11797,88
418,07450,88
419,33162,88
420,10502,88
421,12401,88
422,07059,88
423,11570,88
424,18610,88
425,19040,88
426,08401,88
427,02871,88
428,08611,88
429,10956,88
430,10272,88
431,06512,88
432,87507,88
433,08007,88
434,33064,88
435,07203,88
436,07702,88
437,19102,88
438,90069,88
439,10709,88
440,10318,88
441,10076,88
442,90068,88
443,95621,88
444,11241,88
445,08540,88
446,90066,88
447,11050,88
448,10804,88
449,07035,88
450,10152,88
451,10265,88
452,11224,73
453,90094,88
454,11413,66
455,10595,88
456,12224,88
457,10041,88
